Transformation,Model,Adj R2 (Train),Adj R2 (Test),F Statistic,Durbin Watson,Jarque Bera,Anderson Darling (Train),Anderson Darling (Test),White's (Train),AIC,BIC
ln^1/2(x),OLS Elastic,0.8211085693696127,0.7402852194873999,4.115242317621027e-305,1.969517929398642,0.00017432119062580934,0.05528148667684263,0.22249870960831206,2.3753948806573653e-08,-3299.5397175165554,-3062.3529375814096
ln^3/2(x),OLS Elastic,0.836093086650445,0.7559566449991824,9e-322,1.978674523601706,7.432432976535106e-07,0.03784506928777791,0.11780442832930335,8.798035571202353e-08,3114.884925337052,3352.071705272198
ln^2(x),OLS Elastic,0.8344359828466927,0.7537382788949614,7.4075e-320,1.9821389223145736,1.0806320762879447e-08,0.025954450204328683,0.030367967422183628,6.118486389623325e-08,5886.105314786448,6123.2920947215935
x^-2,WLS,0.9726788449305623,0.6447489249042395,0.0,1.9633683987361967,0.0,0.0,0.0,7.634560489724373e-08,-36629.27368085325,-36392.086900918104
x^-3/2,WLS,0.9797396951583209,0.7369338589434916,0.0,1.9031875751853802,0.0,8.58491336573765e-22,0.0,5.879746170293678e-06,-29011.03619379697,-28773.849413861823
x^-1,WLS,0.7999414823367933,0.768250540700169,7.690460651760892e-284,1.8984863123688087,5.0825542105927e-16,9.091152415200101e-09,0.001594536324006901,9.572767023280124e-07,-19938.70139802881,-19701.514618093664
x^-1/2,WLS,0.8212690425392487,0.7903927429007129,2.7768980870096684e-305,1.9256160203118389,0.00020109347303497898,0.0010415383829941688,0.013730623428543883,1.3172710303432112e-07,-11266.601317774299,-11029.414537839153
x^-1/3,WLS,0.8297592884457627,0.7876219750445768,1.5007141993e-314,1.9401287577973754,0.01874340251096703,0.07004261119077558,0.037718177114213776,1.2854856101439868e-07,-8674.460873873652,-8437.274093938506
x^-1/4,WLS,0.8332022544808921,0.7845144584147841,1.923867e-318,1.9473188548288909,0.03472518144056546,0.20721207578743575,0.060805688457096864,1.4646574907298758e-07,-7532.759659050455,-7295.57287911531
x^-1/5,WLS,0.8349683987191929,0.7820976338398221,1.803e-320,1.9516236836267482,0.02760287592812499,0.28777727476243886,0.0754722765045582,1.6348798463237122e-07,-6940.937650347556,-6703.75087041241
ln(x),WLS,0.8442583944282389,0.7688678247989904,0.0,1.9705525598858562,0.00017295088692335673,0.06459309160146098,0.19189069005978457,4.912027066596583e-07,111.87790091751867,349.06468085266437
x^0.09,WLS,0.8406780301164583,0.7590472400754561,0.0,1.9770759090804912,1.1682651869170635e-07,0.011541909378814857,0.09957022631129173,3.782294093362977e-07,-2379.088981796348,-2141.9022018612022
x^1/5,WLS,0.8407979005331071,0.7468525861616663,0.0,1.9861399698026283,5.091983054435791e-12,0.0004984677493673147,0.062889685445063,5.007096922146744e-07,1161.3349314337424,1398.5217113688882
x^1/4,WLS,0.8405110955466115,0.740278640645841,0.0,1.990368863575153,1.2606500853265958e-14,7.944951759398931e-05,0.045312840008332064,5.639531002049732e-07,2594.487594164276,2831.6743740994216
x^1/3,WLS,0.8395545151940423,0.7281401141232471,0.0,1.9972302598343374,8.385014136030352e-20,2.180045470377324e-06,0.024153335019160015,6.719317586405556e-07,4826.8838804596035,5064.070660394749
x^1/2,WLS,0.8359485478937675,0.6991657053433107,1.32e-321,2.009729524729044,1.4228170740148731e-33,3.059340032642248e-10,0.0039543151338556825,8.573858541987867e-07,8978.823515026059,9216.010294961205
x^1,WLS,0.821738600850953,0.5619295635896837,8.765704666677959e-306,2.021000293985678,6.126803348100842e-83,1.5963811314702741e-21,1.113026827901912e-05,7.200059354202571e-07,20528.41993397805,20765.606713913196
x^3/2,WLS,0.9243674231688477,0.3752309161624485,0.0,2.0252622059787244,0.0,0.0,0.0,1.2124445437933202e-08,31776.08736943082,32013.274149365967
x^2,WLS,0.9136388590836364,0.16595255274399434,0.0,1.9879682260423568,0.0,0.0,0.0,6.512158323691221e-07,43072.52469926748,43309.711479202626
ln^-2(x),WLS,0.8357355584563744,0.7873773992069374,2.33e-321,1.9457926434551283,0.06611537882934462,0.15883779840968668,0.09598755188908976,1.6945689843682747e-07,-11936.266477603236,-11699.07969766809
ln^-3/2(x),WLS,0.8376633390427335,0.7852261524607645,1.5e-323,1.9498315981397125,0.06660465367889977,0.23812311316715987,0.11738617528077769,1.9509437285616355e-07,-10251.816428698025,-10014.629648762879
ln^-1(x),WLS,0.8393869379580854,0.7827097378096471,0.0,1.9539063209213055,0.04600933865824175,0.2796613081440908,0.14243472861275713,2.2911545341283555e-07,-8786.927859127989,-8549.741079192843
ln^-1/2(x),WLS,0.8409070052757751,0.7798226799747372,0.0,1.9580185049693495,0.021461010401387565,0.2635430214647016,0.16664855450315194,2.733992331521214e-07,-7859.340364008579,-7622.153584073433
ln^-1/3(x),WLS,0.8413686497111725,0.7787768508086227,0.0,1.9593974580830367,0.015208657232208905,0.2482932290297231,0.172072102459908,2.9081603510187193e-07,-7876.159737329219,-7638.972957394073
ln^-1/4(x),WLS,0.8415910526550603,0.778238137752393,0.0,1.9600884251345612,0.012583680743686742,0.2392196166039526,0.17421573045923883,3.000715858334626e-07,-8043.3988195849315,-7806.212039649786
ln^-1/5(x),WLS,0.8417218039110018,0.7779098347582422,0.0,1.9605034722290295,0.01116902973872584,0.2330419876276182,0.17585515408156982,3.0580658919167723e-07,-8238.233111270983,-8001.046331335838
ln(ln(x)),WLS,0.844172996223969,0.7768796866712024,0.0,1.9629154772641433,0.007090102272793501,0.18147188451975335,0.21913854153431753,3.397908612511198e-07,-4336.650384968624,-4099.463605033478
ln^0.09(x),WLS,0.8424512433616324,0.7758979261394516,0.0,1.9629555537982188,0.005076110913586872,0.1905325477113873,0.18310252504543006,3.425070864526352e-07,-8328.06292125332,-8090.876141318175
ln^1/5(x),WLS,0.8426953531657564,0.7751454076721859,0.0,1.963835816595259,0.0036917734200806345,0.173951891846769,0.1848493839102216,3.569170500675109e-07,-6458.458833081986,-6221.27205314684
ln^1/4(x),WLS,0.8428080112399828,0.7747824871795227,0.0,1.9642537655398915,0.003152887802881716,0.1658115739266378,0.18551732994195544,3.639984689625768e-07,-5818.681359010332,-5581.494579075186
ln^1/3(x),WLS,0.8429913245192586,0.7741689806784845,0.0,1.9649509857331064,0.002400320210146016,0.15258993540025725,0.18638378632314812,3.7616355747479504e-07,-4909.870904601866,-4672.68412466672
ln^1/2(x),WLS,0.8433412883541158,0.7729094367104224,0.0,1.966347682402381,0.0013408883866197281,0.12629729758326702,0.18869932907241072,4.018978731855243e-07,-3409.911885743928,-3172.7251058087822
ln^3/2(x),WLS,0.8449775513362511,0.7644252875846489,0.0,1.9747701988859674,1.3977350318106365e-05,0.027243883776339236,0.18444190501005606,6.005720990079788e-07,3096.2660238803805,3333.4528038155263
ln^2(x),WLS,0.845500396953383,0.7595735029033908,0.0,1.9789854137532314,6.934810027324612e-07,0.009431403493490233,0.16205986925616053,7.320323867345299e-07,5860.94608484645,6098.132864781595
x^-2,GLS,0.742299888539145,0.7254099397668499,7.966235073252727e-236,1.9657491166464187,0.0,0.0,6.063864012902245e-23,4.494975767840962e-12,-36763.1797968958,-36525.99301696065
x^-3/2,GLS,0.7913070721976518,0.775206398660705,8.205419892522322e-276,1.9446803813131455,0.0,0.0,1.0289068088817902e-10,5.210980660276658e-14,-28120.305214328586,-27883.11843439344
x^-1,GLS,0.8274077647285367,0.8006886749655622,6.152893459126e-312,1.9272748094274779,4.475722239227722e-112,1.7158885340086129e-25,0.001660049771398457,7.499464308380174e-14,-19512.098078757946,-19274.9112988228
x^-1/2,GLS,0.8446197616453953,0.7997039866419274,0.0,1.9325663945330434,2.583315904284378e-07,5.555917078934096e-05,0.10353544362797618,8.555505336988591e-10,-11167.582644862183,-10930.395864927037
x^-1/3,GLS,0.8455122893538279,0.7929268819289002,0.0,1.9411388538073937,0.011756801150579626,0.02400078375488608,0.18036229371035323,3.212255041965914e-08,-8637.39447054304,-8400.207690607895
x^-1/4,GLS,0.8450181847224968,0.7882087435846354,0.0,1.9464723131781714,0.05113142422139593,0.11595527511150387,0.21254377231280822,1.192342487491237e-07,-7516.202891028554,-7279.016111093409
x^-1/5,GLS,0.8444194997059601,0.7849310162300358,0.0,1.949938506691949,0.052987171844722146,0.19148252221717396,0.2266940719601296,2.0843376389130605e-07,-6933.173236314486,-6695.98645637934
